DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
54,0.75,0,0,0.111,0,0,0,0,0.063,0,54,24,18,9,9,21,24,12,12,0.8,,,54,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
55,0.75,0,0,0.111,0,0,0,0.062,0,0,55,24,18,9,9,21,24,12,12,0,,,55,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
56,0.75,0,0,0.111,0,0,0,0.062,0,0,56,24,18,9,9,21,24,12,12,0,,,56,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
57,0.75,0,0,0.111,0,0,0,0.062,0,0,57,24,18,9,9,21,24,12,12,0,,,57,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
58,0.75,0,0,0.111,0,0,0,0,0.063,0,58,24,18,9,9,21,24,12,12,1.2,,,58,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
59,0.75,0,0,0.111,0,0,0,0.062,0,0,59,24,18,9,9,21,24,12,12,0,,,59,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
60,0.75,0,0,0.111,0,0,0,0.062,0,0,60,24,18,9,9,21,24,12,12,0,,,60,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
61,0.75,0,0,0.111,0,0,0,0.062,0,0,61,24,18,9,9,21,24,12,12,0,,,61,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
62,0.75,0,0,0.111,0,0,0,0.062,0,0,62,24,18,9,9,21,24,12,12,0,,,62,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
63,0.75,0,0,0.111,0,0,0,0.062,0,0,63,24,18,9,9,21,24,12,12,0,,,63,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
64,0.75,0,0,0.111,0,0,0,0.062,0,0,64,24,18,9,9,21,24,12,12,0,,,64,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
65,0.83,0,0.046,0,0.068,0.006,0,0,0.069,0.019,65,11,6,10,9,20,16,11,12,0.1,,,65,0.000%,27.381%,0.000%,60.714%,11.905%,0.000%,0.000%,99.771%,0.229%,,,,,,,,,,,,
66,0.843,0,0.035,0.053,0.035,0,0,0,0.07,0.008,66,13,6,9,9,21,13,12,12,0.15,,,66,0.000%,20.958%,47.605%,31.437%,0.000%,0.000%,0.000%,99.857%,0.143%,,,,,,,,,,,,
67,0.843,0,0.035,0.053,0.035,0,0,0,0.07,0.008,67,24,6,9,9,21,8,12,12,0.2,,,67,0.000%,20.958%,47.605%,31.437%,0.000%,0.000%,0.000%,99.810%,0.190%,,,,,,,,,,,,
68,1,0.026,0.004,0,0.045,0.033,0,0.073,0,0.063,68,1,11,9,9,16,20,12,12,2,,,68,2.592%,4.387%,0.000%,40.379%,52.642%,0.000%,87.425%,0.000%,12.575%,,,,,,,,,,,,
69,0.85,0.005,0.007,0.114,0,0,0,0.054,0.02,0,69,8,6,8,9,21,8,12,10,0.03,,,69,4.024%,4.225%,91.751%,0.000%,0.000%,0.000%,76.415%,23.585%,0.000%,,,,,,,,,,,,
70,0.75,0,0,0.111,0,0,0,0.063,0,0,70,24,18,9,9,21,13,12,11,0.15,,,70,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
71,0.875,0,0,0.111,0,0,0,0,0.063,0,71,24,16,9,10,21,22,12,14,0.35,,,71,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
72,0.827,0,0.018,0.033,0.035,0.014,0,0.026,0.043,0.012,72,16,7,9,9,19,10,12,12,0.1,,,72,0.000%,12.550%,29.582%,31.375%,26.494%,0.000%,37.627%,62.229%,0.145%,,,,,,,,,,,,
73,1,0,0.017,0,0.026,0.033,0.017,0.063,0,0,73,8,5,9,9,17,7,16,12,0.03,,,73,0.000%,8.509%,0.000%,23.423%,56.156%,11.912%,100.000%,0.000%,0.000%,,,,,,,,,,,,
74,0.938,0,0,0.111,0,0,0,0,0.063,0,74,20,12,9,11,21,18,12,15,0.2,,,74,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
75,1,0,0.006,0.078,0,0.035,0,0.083,0,0,75,8,8,9,9,7,9,12,12,0.05,,,75,0.000%,4.824%,70.553%,0.000%,24.623%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
76,0.981,0,0.005,0,0.061,0.028,0,0.065,0,0.018,76,11,7,9,9,15,8,15,12,0.1,,,76,0.000%,3.486%,0.000%,54.681%,41.833%,0.000%,99.816%,0.000%,0.184%,,,,,,,,,,,,
77,0.939,0,0.072,0,0,0.051,0,0,0.077,0.06,77,9,4,9,10,14,10,10,12,0.2,,,77,0.000%,28.743%,0.000%,0.000%,71.257%,0.000%,0.000%,98.718%,1.282%,,,,,,,,,,,,
78,1,0,0.012,0.072,0,0.02,0,0,0.071,0,78,9,7,8,9,17,8,13,14,0.068,,,78,0.000%,8.400%,57.600%,0.000%,34.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
79,0.828,0.01,0.005,0.096,0,0,0,0,0.064,0.009,79,9,10,9,12,20,13,12,13,0.2,,,79,8.964%,4.980%,86.056%,0.000%,0.000%,0.000%,0.000%,99.784%,0.216%,,,,,,,,,,,,
80,0.715,0.008,0.008,0.094,0,0,0,0.028,0.037,0,80,8,11,9,10,20,10,11,11,0.05,,,80,6.413%,8.818%,84.770%,0.000%,0.000%,0.000%,43.077%,56.923%,0.000%,,,,,,,,,,,,
