radial,AG,EN,CH,CS,IN,MF,,holgura,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,mejora potencial,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE
,-6,-4.5,-2.25,-2.25,-5.25,-6,,13,0,0,0,0,0,0,3,3,7.49,,13,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.49,,13,24,18,9,9,21,24,12,12,0.012,,13,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,62425%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,14,11.72,1.46,0,0,4.39,17.58,3,3,0.06,,14,-17.72,-5.96,-2.25,-2.25,-9.64,-23.58,3,3,0.06,,14,24,18,9,9,21,24,12,12,0.25,,14,-74%,-33%,-25%,-25%,-46%,-98%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,15,11.8,1.47,0,0,4.42,17.7,3,3,0.05,,15,-17.8,-5.97,-2.25,-2.25,-9.67,-23.7,3,3,0.05,,15,24,18,9,9,21,24,12,12,0.2,,15,-74%,-33%,-25%,-25%,-46%,-99%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,16,11.8,1.47,0,0,4.42,17.7,3,3,0.05,,16,-17.8,-5.97,-2.25,-2.25,-9.67,-23.7,3,3,0.05,,16,24,18,9,9,21,24,12,12,0.2,,16,-74%,-33%,-25%,-25%,-46%,-99%,25%,25%,25%
,-4,-4.5,-2.25,-2.25,-5.25,-6,,17,0,0.75,0,0,2.25,9,3,3,3.77,,17,-4,-5.25,-2.25,-2.25,-7.5,-15,3,3,3.77,,17,16,18,9,9,21,24,12,12,0.02,,17,-25%,-29%,-25%,-25%,-36%,-62%,25%,25%,18863%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,18,11.39,1.42,0,0,4.27,17.09,3,3,0.11,,18,-17.39,-5.92,-2.25,-2.25,-9.52,-23.09,3,3,0.11,,18,24,18,9,9,21,24,12,12,0.45,,18,-72%,-33%,-25%,-25%,-45%,-96%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,19,8.77,1.1,0,0,0,12.16,3,8.67,0.14,,19,-14.77,-5.6,-2.25,-2.25,-5.25,-18.16,3,8.67,0.14,,19,24,18,9,9,21,24,12,4,0.57,,19,-62%,-31%,-25%,-25%,-25%,-76%,25%,217%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6.25,,20,0,0,0,0,0,0.75,3,3,7.31,,20,-6,-4.5,-2.25,-2.25,-5.25,-7,3,3,7.31,,20,24,18,9,9,21,25,12,12,0.25,,20,-25%,-25%,-25%,-25%,-25%,-28%,25%,25%,2925%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,21,11.64,1.45,0,0,4.36,17.45,3,3,0.07,,21,-17.64,-5.95,-2.25,-2.25,-9.61,-23.45,3,3,0.07,,21,24,18,9,9,21,24,12,12,0.3,,21,-73%,-33%,-25%,-25%,-46%,-98%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,22,11.56,1.44,0,0,4.33,17.33,3,3,0.09,,22,-17.56,-5.94,-2.25,-2.25,-9.58,-23.33,3,3,0.09,,22,24,18,9,9,21,24,12,12,0.35,,22,-73%,-33%,-25%,-25%,-46%,-97%,25%,25%,25%
